,Name,Unnamed: 0,Nearest_tourist_Place
0,Ahsan_Monjil,0,1. Lalbag Port. 2. Liberation War Museum
1,Armenian_Church,1,1. Ahsan Monjil. 2. Greek Monument
2,Baitul_Mukarram_Mosque,2,1. Central Shahedd Minar. 2. Ramana Park
3,Bangladesh_National_Museum,3,1. Ahsan Monjil. 2. Lalbag Fort
4,Bangladesh_Parlament,4,1. Jagnatth Hall Killing Field
5,Candrima_Uddan,5,1. Bangladesh Parlament
6,Supreme_Court,6,1. Dhaka University. 2. Shaheed Minar
7,Dhakeshwari_Temple,7,1. Ahsan Monzil.2. Armenian Church
8,Kutila_Mura,8,1. Shalbon Bihar.2. Mainamati
9,lalbag,9,1. Tara Masjid.2. Dhakeshwari National Temple
10,Liberation_War_Museum,10,1. National Parliament House.2. Bangladesh air force museum.
11,Mahasthangarh,11,1. Dorgah of Saibani Bibi.2. Kherua Mosque
12,Mujibnagar_Memorial_Complex,12,1. Mujibnagar Sritishoudh.2. Mujibnagar Aambagan.
13,Muktagacha_Rajbari,13,1. Shilpacharja Zainul Uddan. 2. Circuit House Park
14,National_Martyrs,14,1. Batiul Mukarram National Mosque. 2. Bangladesh National Museum
15,Osmani_Museum,15,1.Osmani Shishu Uddan
16,panam city,16,Bangladesh Folk Art and Crafts Foundation
17,Shaheed_Minar,17,1. Bangladesh National Museum.2. Dhakeshwari Temple
18,Shalbon_Bihar,18,1. Mainamati Museum.2. Rupban Mura.3.Magic Paradise Park
19,Shrine_of_Hazarat_Shah_Jalal,19,1. Ratargul Swamp Forest.2.Jaflong
20,Sixty_Dome_Mosque,20,1. Khulna University. 2. Khan Jahan Ali Bridge.3. The Sundarbans
21,Sompur_Mahavihara,21,1. Shishu Uddan. 2.Halud Vihara
22,sonargaon,22,1. Sonargaon Museum. 2. Panam City
23,Tajhat_palace,23,"1. Rangpur Zoo. 2.Chiklee Water Park,Rangpur"
24,Tara_Masjid,24,1. Lalbag Fort. 2. Ahsan Monzil Museum.
25,National_Zoo,25,National Botanical Garden
